,tic_id,RA,Dec,Tmag,Period,Epoc,Transit_Depth,Duration,Sectors,Camera,CCD,star_rad,star_mass,teff,logg,SN,Qingress
18496,136318543,305.581137201,31.3594222915,13.3236,0.47085,1683.943846,0.02073,0.0734384745,15,1,2,16.2935,,4352.0,,22.4573,0.0265
18498,136318552,305.602141483,31.3609365907,11.9496,0.47085,1683.943641,0.01069,0.0925173165,15,1,2,1.36732,1.11,5996.0,4.21165,29.28878,-0.17967
18499,136318562,305.598793719,31.3621833248,11.3431,0.47085,1683.941093,0.00679,0.0860572545,15,1,2,2.53644,1.08,5940.0,3.66304,28.04019,-0.09477
18501,136318738,305.587320747,31.3899553085,13.0777,2.060433,1685.118949,0.01974,0.24327532431,15,1,2,14.5879,,4349.0,,27.93262,0.35639
18508,136319033,305.620694103,31.4307085778,12.0016,0.979878,1684.691725,0.00157,0.09220651980000001,15,1,2,31.446,,4141.0,,11.02354,0.17472
18521,136319614,305.519290198,31.5136265578,13.0732,0.9021,1683.894696,0.16753,0.17949985799999998,15,1,2,36.2672,,4393.0,,119.57213,0.40886
18526,136319832,305.598465777,31.5441817777,12.0321,0.606267,1683.855437,0.00195,0.15238521045,15,1,2,0.989924,0.984,5577.0,4.43986,15.98329,0.37693
18559,136321084,305.525597227,31.7238547282,11.2884,13.315625,1693.9811,0.00535,0.3789626875,15,1,2,74.365,,3545.0,,10.86558,0.27706
18562,136321131,305.545138305,37.1107856469,13.276,0.500017,1683.893929,0.00401,0.04379648903,15,1,2,6.0218,,9848.0,,17.2404,0.25169
18578,136321897,305.537736262,36.9680391851,13.0612,0.156961,1683.685879,0.00537,0.018621853039999997,15,1,2,12.9768,,4453.0,,13.1284,-0.03713
18582,136322001,305.555289186,36.9462295332,9.4239,0.9271,1684.218567,0.00404,0.12549225600000002,15,1,2,,,,,15.27561,0.26628
18608,136323136,305.525732,36.791851,12.871,1.628489,1684.371081,0.00431,0.09858872406,15,1,2,,,,,19.50525,0.20501
