time, circaper5, circaper0
2802.0998,0.99822069,0.99656249
2802.1407,0.99837235,0.9970212
2802.1611,0.99859838,0.99672202
2802.1816,0.99760498,0.99658169
2802.202,0.9982649,0.99643392
2802.2224,0.99796004,0.99666289
2802.2429,0.99858639,0.99643809
2802.2633,0.99879429,0.99605647
2802.2837,0.99817796,0.99679581
2802.3042,0.99755373,0.99600434
2802.3246,0.99701157,0.99592544
2802.345,0.99816271,0.9963755
2802.3859,0.99867385,0.99663651
2802.4063,0.99761762,0.99543118
2802.4268,0.99981961,0.99622826
2802.4472,0.9980448,0.99583035
2802.4676,0.9984155,0.99602745
2802.488,0.99846201,0.99603706
2802.5085,0.99808897,0.99603072
2802.5289,0.99927884,0.99691722
2802.5493,1.0019143,0.99583039
2802.5698,0.99840742,0.99620744
2802.5902,0.99829443,0.99588815
2802.6311,0.99832649,0.99575536
2802.6515,0.99657575,0.99562226
2802.6719,0.99842642,0.99651379
2802.6924,0.99749941,0.9960684
2802.7128,0.99792586,0.99606004
2802.7332,0.99879061,0.99629958
2802.7537,0.99800278,0.99605384
2802.7741,0.99800885,0.99619678
2802.7945,0.99776703,0.99513786
2802.815,0.99826642,0.99572279
2802.8354,0.9978286,0.99566515
2802.8558,0.99754971,0.99627237
2802.8762,0.99737118,0.99589108
2802.8967,0.99927309,0.99631114
2802.9171,0.99835775,0.99605866
2802.9375,0.99875705,0.99606093
2802.958,0.9982578,0.99610037
2802.9784,0.99753589,0.99584339
2802.9988,0.99895087,0.99686424
2803.0193,0.99742568,0.99585229
2803.0397,0.99764168,0.99558878
2803.0601,0.99881893,0.99635831
2803.0806,0.99808668,0.99587548
2803.1214,0.99743639,0.99582713
2803.1419,0.99743563,0.99592724
2803.1623,0.99865087,0.99601194
2803.1827,0.99776329,0.99577354
2803.2032,0.99627589,0.99513448
2803.2236,0.9971647,0.99598037
2803.244,0.99654559,0.99553542
2803.2645,0.99842274,0.99585396
2803.2849,0.99727733,0.99611629
2803.3053,0.99771106,0.99587684
2803.3257,0.99828817,0.99614627
2803.3666,0.99879619,0.99600627
2803.387,0.99888102,0.99646744
2803.4075,0.99770178,0.99556115
2803.4279,0.99731341,0.99584943
2803.4483,0.99938042,0.99636427
2803.4688,0.99777045,0.99584874
2803.4892,0.99914111,0.99608057
2803.5096,0.99935103,0.99650855
2803.5301,0.99795718,0.99633008
2803.5505,0.99850989,0.99709313
2803.5709,0.99705348,0.99576382
2803.6118,0.99838847,0.99598738
2803.6322,0.99841335,0.99602771
2803.6527,0.99796475,0.99657849
2803.6731,0.99904834,0.99600205
2803.6935,0.9979879,0.99617563
2803.7139,0.9976392,0.99613369
2803.7344,0.9976982,0.99602524
2803.7548,0.99796258,0.99641687
2803.7752,0.99802129,0.99606474
2803.7957,0.99668345,0.99559678
2803.8161,0.99717129,0.99620853
2803.857,0.99805329,0.99606786
2803.8774,0.99869232,0.99627224
2803.8978,0.99780509,0.99581629
2803.9183,0.99860958,0.99583569
2803.9387,0.99814736,0.99616371
2803.9591,0.99786192,0.99562311
2803.9796,0.99663687,0.995729
2804,0.9979184,0.99562848
2804.0204,0.99728757,0.99539661
2804.0409,0.99814441,0.9957599
2804.0613,1.0016502,0.99778906
2804.1022,0.9983567,0.99671065
2804.1226,0.99713875,0.99611259
2804.143,0.99849348,0.99646362
2804.1634,0.99857641,0.9961618
2804.1839,0.99791624,0.99624748
2804.2043,0.99952788,0.9966904
2804.2247,0.99785815,0.99616255
2804.2452,0.99801511,0.99646147
2804.2656,0.99901691,0.9959798
2804.286,0.99759003,0.99597813
2804.3065,0.9981678,0.99618656
