#             ID,KIC,Period,T0-2454900,Duration,Depth,DISP,KepMag,P1/P2,dT0/P,Pmatch(σ),Tmatch(σ),Dmatch(σ),"Sep("")",Chan0,Mod0,Out0,Row0,Col0,Chan1,Mod1,Out1,Row1,Col1,Chan2,Mod2,Out2,Row2,Col2,Chan3,Mod3,Out3,Row3,Col3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009541127-pri,9541127,0.53665,53.976537,2.1032,0.3781,KEB,12.558,1,-20,4.131,2.456,1,23.4,49,15,1,277,224,5,3,1,277,227,33,11,1,275,227,77,23,1,273,223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021.01,2558363,0.546248,111.5618,1.424,0.000666,KOI,15.996,1,21,5.086,2.946,1,6.9,15,6,3,879,55,75,22,3,875,60,71,20,3,875,61,11,4,3,873,56
002558370-pri,2558370,0.546248,100.092348,1.6951,0.0346,KEB,18.55,1,-21,5.086,2.946,1,6.9,15,6,3,880,54,75,22,3,876,59,71,20,3,875,59,11,4,3,874,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986.01,4568298,0.562556,64.7479,1.6774,0.000223,KOI,15.945,1,115,4.47,2.4,1,99,5,3,1,621,441,33,11,1,618,440,77,23,1,617,437,49,15,1,620,437
V1130-Cyg-pri,4660997,0.56256,0.04474,0,0.601893,GEB,12.317,1,-115,4.47,2.42,1,99,5,3,1,596,438,33,11,1,594,437,77,23,1,592,433,49,15,1,596,434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986.01,4568298,0.562556,64.7479,1.6774,0.000223,KOI,15.945,1,19,4.438,2.463,1,99,5,3,1,621,441,33,11,1,618,440,77,23,1,617,437,49,15,1,620,437
004660997-pri,4660997,0.562561,54.051594,1.9618,0.5227,KEB,12.317,1,-19,4.438,2.468,1,99,5,3,1,596,438,33,11,1,594,437,77,23,1,592,433,49,15,1,596,434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248.01,4568117,0.56257,64.7269,1.58,0.000029,KOI,13.54,1,115,4.298,2.26,1,88.9,5,3,1,598,416,33,11,1,596,415,77,23,1,595,411,49,15,1,598,412
V1130-Cyg-pri,4660997,0.56256,0.04474,0,0.601893,GEB,12.317,1,-115,4.298,2.294,1,88.9,5,3,1,596,438,33,11,1,594,437,77,23,1,592,433,49,15,1,596,434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4248.01,4568117,0.56257,64.7269,1.58,0.000029,KOI,13.54,1,19,4.314,2.256,1,88.9,5,3,1,598,416,33,11,1,596,415,77,23,1,595,411,49,15,1,598,412
004660997-pri,4660997,0.562561,54.051594,1.9618,0.5227,KEB,12.317,1,-19,4.314,2.261,1,88.9,5,3,1,596,438,33,11,1,594,437,77,23,1,592,433,49,15,1,596,434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4420.01,7031942,0.566745,64.8515,2.1,0.000023,KOI,13.867,1,0,4.042,2.074,1,1674.1,21,8,1,166,499,37,12,1,161,499,61,18,1,162,495,45,14,1,169,494
4718.01,7282042,0.566775,64.8299,2.2,0.000016,KOI,13.449,1,0,4.042,2.074,1,1674.1,21,8,1,161,920,37,12,1,156,920,61,18,1,157,916,45,14,1,163,915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4718.01,7282042,0.566775,64.8299,2.2,0.000016,KOI,13.449,1,0,4.042,2.074,1,1674.1,21,8,1,161,920,37,12,1,156,920,61,18,1,157,916,45,14,1,163,915
4420.01,7031942,0.566745,64.8515,2.1,0.000023,KOI,13.867,1,0,4.042,2.074,1,1674.1,21,8,1,166,499,37,12,1,161,499,61,18,1,162,495,45,14,1,169,494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4718.01,7282042,0.566775,64.8299,2.2,0.000016,KOI,13.449,1,114,3.769,2.21,1,1127.9,21,8,1,161,920,37,12,1,156,920,61,18,1,157,916,45,14,1,163,915
RR-Lyr-pri,7198959,0.566868,0.202178,0,0.623296,GEB,7.862,1,-114,3.769,2.633,1,1127.9,21,8,1,49,660,37,12,1,44,659,61,18,1,45,655,45,14,1,51,654
