Type,FPKOI,FPKIC,Name,KIC,PRatio,Dist,DelRow,DelCol,m2mag,DelMag,DRatio,Flag
Direct PRF,3845.01,11824218,011824222-pri,11824222,1:1,6.3,2,0,14.5,-0.77,8.81E+00,0
Direct PRF,3847.01,7289165,399.01,7289157,1:1,14.7,4,1,12.95,-0.09,2.35E+02,0
Direct PRF,3860.01,9641008,FL-Lyr-pri,9641031,1:1,70,-10,-14,9.18,5.31,6.50E+02,0
Direct PRF,3862.01,3644601,003644542-pri,3644542,3:1,71.5,17,-4,8.35,6.81,2.04E+02,0
Direct PRF,3862.02,3644601,003644542-pri,3644542,1:1,71.5,17,-4,8.35,6.81,1.23E+03,0
Direct PRF,3866.01,5215980,005215999-pri,5215999,1:1,8.6,1,1,14.11,1.1,7.73E+00,0
Direct PRF,3870.01,8258160,286.01,8258171,1:1,9.3,-2,2,11.64,4.73,1.38E-02,1
Direct PRF,3871.01,9752982,3162.01,9752973,1:1,13,-3,0,10.05,2.18,1.02E-01,1
Direct PRF,3872.01,4666008,004665989-pri,4665989,1:1,19.3,4,-3,13.02,1.42,3.86E+02,0
Direct PRF,3877.01,9159265,009159301-pri,9159301,1:1,34.5,-9,-1,12.15,2.36,2.40E+03,0
Direct PRF,3879.01,5560830,005560831-pri,5560831,1:1,7.3,2,-1,16.09,-1.64,3.42E+01,0
Direct PRF,3883.01,9592850,009592855-pri,9592855,1:1,6.9,0,1,12.22,4.18,3.62E-01,2
Direct PRF,3884.01,4579313,004579321-sec,4579321,1:1,7.3,-1,2,17.39,-2.58,5.88E+01,0
Direct PRF,3887.01,5308419,2724.01,5308387,2:1,13.8,-4,-1,12.88,0.6,2.52E-01,1
Direct PRF,3895.01,12106934,359.01,12106929,1:1,12,1,2,13.8,4.56,1.03E-02,1
Direct PRF,3902.01,10583225,T-Lyr1-01013-pri,10583181,1:1,71.8,-17,-4,11.01,3.54,1.46E+03,0
Direct PRF,3905.01,8487748,V2277-Cyg-pri,8552540,1:1,102.6,-3,25,10.29,5.16,5.49E+02,0
Direct PRF,3910.01,10491062,T-Cyg1-12368-sec,10491031,1:2,16.9,-4,-2,13.24,2.09,3.00E+02,0
Direct PRF,3914.01,5471496,V380-Cyg-pri,5385723,1:1,198.2,39,30,5.77,10.12,1.66E+02,0
Direct PRF,3915.01,4544620,004544587-pri,4544587,1:1,52,-1,13,10.8,5.07,4.14E+02,0
Direct PRF,3920.01,2437488,002437452-pri,2437452,1:1,10.6,0,3,16.98,-2.02,9.73E+01,0
Direct PRF,3927.01,8868649,008868650-pri,8868650,1:1,25.8,3,-6,11.94,2.08,2.60E+03,0
Direct PRF,3931.01,10661718,010661783-pri,10661783,1:1,66.9,-15,-9,9.59,5.69,5.10E+02,0
Direct PRF,3932.01,6137681,006137704-pri,6137704,2:1,9.6,-1,-3,14.16,1.32,1.12E+01,0
Direct PRF,3941.01,8552587,V2277-Cyg-pri,8552540,1:1,58.7,6,13,10.29,3.83,1.15E+03,0
Direct PRF,3947.01,5952366,005952403-pri,5952403,1:1,34.5,0,9,6.97,6.41,1.51E+00,0
Direct PRF,3948.01,6045250,006045264-pri,6045264,1:1,9,2,0,13.44,1.53,3.86E+01,0
Direct PRF,3949.01,5598595,005598639-pri,5598639,1:2,67.8,-13,11,10.2,5.2,3.86E+02,0
Direct PRF,3950.01,4544572,004544587-pri,4544587,1:1,36.6,1,-9,10.8,4.94,2.29E+02,0
Direct PRF,3951.01,5738634,005738698-pri,5738698,1:2,72,18,-1,11.94,1.31,3.89E+03,0
Direct PRF,3955.01,9899414,BR-Cyg-pri,9899416,1:1,43.4,6,9,10.03,4.89,6.56E+02,0
Direct PRF,3957.01,7458309,007458285-pri,7458285,1:1,18.4,3,-3,13.52,0.35,1.72E+03,0
Direct PRF,3958.01,7777372,007777443-pri,7777443,1:1,53.7,-7,12,11.91,2.24,3.16E+03,0
Direct PRF,3965.01,5385575,V380-Cyg-pri,5385723,1:1,151.6,-14,-35,5.77,8.88,2.79E+02,0
Direct PRF,3967.01,5385697,V380-Cyg-pri,5385723,1:1,229,-48,-32,5.77,9.83,9.12E+02,0
Direct PRF,3970.01,9412445,009412462-pri,9412462,1:1,15.4,4,0,14.85,-0.2,1.22E+03,0
Direct PRF,3971.01,7866914,007866921-sec,7866921,4:1,15.1,-4,1,14.8,-0.75,4.17E+01,0
Direct PRF,3976.01,4544571,004544587-pri,4544587,1:1,28.2,4,-5,10.8,4.95,1.53E+02,0
Direct PRF,3978.01,10090219,010090246-pri,10090246,1:1,16.7,-3,2,13.57,1.55,5.48E+02,0
Direct PRF,3979.01,9899217,BR-Cyg-pri,9899416,1:1,181.5,45,-3,10.03,5.24,4.74E+03,0
Direct PRF,3985.01,9602562,V995-Cyg-pri,9602595,1:1,104.7,5,26,11.88,2.5,3.91E+03,0
Direct PRF,3987.01,10407020,V2083-Cyg-pri,10342012,1:2,170.4,41,-13,6.9,6.47,1.98E+03,0
Direct PRF,3988.01,5385491,V380-Cyg-sec,5385723,1:1,212.2,-14,-51,5.77,7.81,7.59E+03,0
Direct PRF,3990.01,6421503,006421483-pri,6421483,1:1,20.3,4,4,13.02,2.22,4.72E+02,0
Direct PRF,3992.01,3228988,V404-Lyr-pri,3228863,1:1,84.4,8,20,11.82,3.5,2.53E+03,0
Direct PRF,3996.01,3228804,V404-Lyr-pri,3228863,1:1,61.4,4,-14,11.82,3.19,2.40E+03,0
Direct PRF,4000.01,5471675,005471619-pri,5471619,1:1,53.5,1,13,12.37,0.94,6.98E+03,0
Direct PRF,4001.01,9851943,009851944-pri,9851944,1:2,33.2,-4,7,11.25,4,9.42E+02,0
